Iteration, Train Error, Test Error
0, 825.1426968713146, 354.90793299216557
1, 826.7645346017969, 355.57129929479976
2, 826.4715722449548, 355.4252331209116
3, 826.976464789572, 355.57155998752006
4, 823.5053514985981, 354.1063617406028
5, 822.1688241238453, 353.4986523768074
6, 820.621555291046, 352.82477295790545
7, 817.9282552627703, 351.71420827392194
8, 817.9784953370279, 351.7013606379984
9, 817.5937345679671, 351.4870833096779
10, 821.8029183144033, 353.30638197933627
11, 821.6930368486264, 353.3228890336319
12, 821.7852607292795, 353.37030751756765
13, 821.7032978711435, 353.24941221582475
14, 821.7503394001433, 353.2563151634722
15, 824.7684466545318, 354.5232529710039
16, 824.6522075669557, 354.5480806575642
17, 824.5685230994422, 354.6164023786647
18, 825.5437523202648, 355.0774087185199
19, 813.7745129260329, 350.31010429561354
20, 813.2380551704297, 350.0060483290231
21, 811.5006051836747, 349.2783103630498
22, 811.9914636536429, 349.46686756848635
23, 812.9906639156756, 349.9411053791255
24, 813.729374628178, 350.2797091226174
25, 814.9387107277064, 350.8907998620961
26, 815.3024155171167, 351.043217188355
27, 815.1204308284188, 350.99426184645165
28, 814.8163777121111, 350.84772182576637
29, 815.4675913264648, 351.10299113579094
30, 808.8020846078964, 348.0120892823545
31, 809.6844471442018, 348.35351665819735
32, 811.5950119121105, 349.15827915899007
33, 813.8098736311979, 350.20474274556307
34, 813.4430824729554, 350.05368852500226
35, 814.5142458043496, 350.4142742158458
36, 815.5596440231895, 350.9240715146172
37, 815.2484018172933, 350.7043997460519
38, 815.754641130915, 351.0679841177008
39, 814.6290631380359, 350.4962394417131
40, 813.196048264614, 349.78626700396603
41, 813.0773685705377, 349.73291916904816
42, 812.9242027928271, 349.65723949980423
43, 812.5716984561797, 349.5478469163173
44, 813.1502014085011, 349.6769975887458
45, 813.5561128734773, 349.85769815970315
46, 813.0963701781759, 349.7072888693403
47, 812.3678213761721, 349.4653136123134
48, 811.2657402604789, 348.9489919152428
49, 811.288354214744, 348.97244247323425
50, 811.2472481347573, 348.92882275735263
51, 811.7818014680688, 349.1926098939092
52, 808.8517144785347, 347.98642750664897
53, 808.9131079533156, 348.0211613183708
54, 807.6646396282972, 347.43702317480677
55, 808.0236508840338, 347.60127118127537
56, 806.3663104372, 346.9666062337668
57, 805.9297550332265, 346.72862056516175
58, 805.7021364502518, 346.59658142589944
59, 807.190776893631, 347.25648787576057
60, 805.2741373805991, 346.3055539518941
61, 800.80753328378, 344.4142982585025
62, 800.6797023903507, 344.3834594351928
63, 801.04884788982, 344.5192348149477
64, 800.245672323305, 344.1754700253739
65, 799.5362184153577, 343.8836421328989
66, 799.1590877958722, 343.76013313304566
67, 799.9069991925614, 343.98798907740013
68, 799.1079471696689, 343.77203502058467
69, 797.2987821545058, 343.06915608812994
70, 797.2752096500612, 343.0161000209016
71, 796.7239079544604, 342.8578062823506
72, 797.3956087066379, 343.0941611705431
73, 795.8818469993687, 342.53146342365505
74, 796.2676280554911, 342.74864098843017
75, 795.822883290962, 342.42350956483256
76, 794.0513316914173, 341.7707357856051
77, 793.6563666320754, 341.6161982829456
78, 791.6472947609533, 340.6953715890309
79, 792.6763251610449, 341.08555270329083
80, 790.4200825652345, 340.2112984368127
81, 791.2379121142951, 340.6162341769667
82, 792.7891164994168, 341.1892625291675
83, 791.2910814536654, 340.5374075168637
84, 789.3606971455719, 339.7782033828042
85, 789.9558989721189, 340.00686264338503
86, 789.6623540797448, 339.9681109801885
87, 788.3757812681299, 339.11534552937167
88, 788.6698361362077, 339.3175921941456
89, 786.9384527603763, 338.6168855143311
90, 786.6961277328651, 338.5580016122778
91, 787.7090012298552, 338.93263163595606
92, 785.7065948521243, 338.04744520304996
93, 784.4162073559637, 337.3819466109038
94, 784.3980858958487, 337.5301331661216
95, 783.473506476291, 337.10119747215634
96, 783.8479812771959, 337.3006467774874
97, 785.2063399985202, 337.62411430275773
98, 779.6617396982602, 335.60744405222454
99, 779.7787765454907, 335.6327965359437
100, 779.4899575539478, 335.6355533184386
101, 779.1885485535526, 335.36163217700505
102, 779.1467836410075, 335.3608462599676
103, 778.3703313462032, 335.15550688151654
104, 779.3439769713985, 335.6121715727246
105, 777.8678887351282, 334.965616950156
106, 778.1102061523627, 334.95155661206627
107, 777.3253969576256, 334.5837002241673
108, 776.8480412975628, 334.4008885630461
109, 784.4659946885246, 337.5517908908153
110, 775.3683431107469, 333.9870344327502
111, 776.1152519264657, 334.1737822208203
112, 774.2046000159456, 333.7335180369754
113, 773.1335108749576, 333.05165803465013
114, 772.0818041092979, 332.6736914897115
115, 771.5281692018378, 332.43699282831165
